aX,aY,aZ,gX,gY,gZ
9.61, -0.36, -0.04, -0.08, 0.43, -0.00
10.44, -0.38, 1.28, -0.08, 0.36, -0.02
10.57, -0.27, 1.65, -0.08, 0.31, -0.03
10.34, -0.28, 1.19, -0.09, 0.15, -0.03
10.34, -0.23, 1.22, -0.09, -0.05, 0.00
10.75, -0.18, 1.80, -0.10, -0.21, 0.03
10.50, -0.25, 1.30, -0.11, -0.45, 0.07
8.80, -0.35, -0.99, -0.11, -0.27, 0.06
9.04, -0.52, -0.74, -0.08, 0.29, 0.02
10.60, -0.29, 1.62, -0.08, 0.44, -0.03
10.35, -0.36, 1.14, -0.08, 0.34, -0.03
10.31, -0.29, 1.07, -0.09, 0.16, -0.02
10.39, -0.26, 1.36, -0.09, -0.02, -0.01
10.56, -0.22, 1.63, -0.10, -0.14, 0.01
10.69, -0.25, 1.69, -0.11, -0.38, 0.05
9.20, -0.28, -0.39, -0.11, -0.39, 0.06
8.75, -0.31, -1.10, -0.09, 0.11, 0.04
10.28, -0.41, 1.00, -0.08, 0.46, -0.01
10.20, -0.36, 0.79, -0.08, 0.33, -0.01
10.46, -0.30, 1.52, -0.08, 0.21, -0.01
10.46, -0.23, 1.61, -0.09, 0.09, -0.01
10.41, -0.24, 1.37, -0.10, -0.09, 0.00
10.83, -0.22, 1.88, -0.10, -0.30, 0.03
10.13, -0.38, 0.76, -0.11, -0.46, 0.06
8.63, -0.30, -1.18, -0.10, -0.07, 0.05
9.72, -0.34, 0.13, -0.08, 0.41, 0.01
10.36, -0.39, 1.17, -0.08, 0.34, -0.00
10.54, -0.27, 1.68, -0.08, 0.28, -0.02
10.35, -0.30, 1.28, -0.09, 0.14, -0.02
10.33, -0.21, 1.25, -0.10, -0.06, -0.02
10.72, -0.17, 1.79, -0.10, -0.22, 0.00
10.46, -0.23, 1.28, -0.11, -0.44, 0.05
8.87, -0.33, -0.92, -0.11, -0.24, 0.06
9.17, -0.50, -0.55, -0.08, 0.29, 0.03
10.60, -0.27, 1.59, -0.08, 0.42, 0.00
10.40, -0.34, 1.21, -0.08, 0.33, -0.02
10.30, -0.28, 1.12, -0.09, 0.16, -0.02
10.43, -0.24, 1.50, -0.09, 0.01, -0.01
10.58, -0.20, 1.65, -0.10, -0.15, -0.00
10.72, -0.25, 1.70, -0.11, -0.38, 0.04
9.23, -0.31, -0.34, -0.11, -0.38, 0.08
8.77, -0.33, -1.08, -0.09, 0.12, 0.06
10.29, -0.44, 1.02, -0.08, 0.45, 0.02
10.18, -0.38, 0.76, -0.08, 0.33, -0.01
10.45, -0.31, 1.47, -0.09, 0.20, -0.03
10.46, -0.25, 1.63, -0.09, 0.08, -0.04
10.40, -0.27, 1.42, -0.10, -0.09, -0.02
10.81, -0.25, 1.90, -0.11, -0.30, 0.03
10.14, -0.38, 0.81, -0.11, -0.46, 0.06
8.65, -0.34, -1.13, -0.10, -0.07, 0.06
9.73, -0.34, 0.18, -0.08, 0.41, 0.02
10.46, -0.39, 1.39, -0.08, 0.36, 0.01
10.52, -0.26, 1.71, -0.08, 0.28, -0.04
10.34, -0.26, 1.25, -0.09, 0.14, -0.04
10.32, -0.23, 1.24, -0.10, -0.04, -0.03
10.71, -0.18, 1.78, -0.10, -0.22, 0.02
10.48, -0.23, 1.32, -0.11, -0.43, 0.07
8.85, -0.33, -0.93, -0.10, -0.25, 0.08
9.13, -0.51, -0.61, -0.08, 0.28, 0.05
10.59, -0.28, 1.57, -0.08, 0.42, 0.01
10.35, -0.35, 1.18, -0.08, 0.33, -0.03
10.30, -0.29, 1.12, -0.09, 0.16, -0.04
10.44, -0.27, 1.52, -0.09, 0.01, -0.04
10.57, -0.24, 1.63, -0.10, -0.14, 0.01
10.70, -0.25, 1.64, -0.11, -0.38, 0.06
9.56, -0.26, 0.04, -0.11, -0.43, 0.07
8.78, -0.31, -1.07, -0.09, 0.11, 0.05
10.24, -0.42, 0.91, -0.08, 0.45, 0.00
10.30, -0.31, 0.98, -0.08, 0.33, -0.02
10.47, -0.28, 1.50, -0.08, 0.21, -0.05
10.45, -0.23, 1.58, -0.09, 0.09, -0.05
10.41, -0.25, 1.39, -0.10, -0.09, -0.00
10.79, -0.22, 1.88, -0.10, -0.29, 0.05
10.14, -0.35, 0.88, -0.11, -0.44, 0.09
8.72, -0.35, -1.04, -0.10, -0.07, 0.06
9.69, -0.33, 0.13, -0.08, 0.38, 0.00
10.47, -0.38, 1.41, -0.08, 0.36, -0.01
10.51, -0.26, 1.59, -0.08, 0.29, -0.03
10.31, -0.30, 1.22, -0.09, 0.14, -0.03
10.34, -0.27, 1.26, -0.09, -0.03, -0.02
10.72, -0.21, 1.75, -0.10, -0.21, 0.03
10.44, -0.23, 1.28, -0.11, -0.42, 0.07
9.05, -0.33, -0.62, -0.11, -0.32, 0.08
9.13, -0.49, -0.56, -0.08, 0.25, 0.02
10.49, -0.29, 1.39, -0.08, 0.42, -0.03
10.32, -0.35, 1.06, -0.08, 0.32, -0.03
10.31, -0.28, 1.12, -0.09, 0.16, -0.03
10.45, -0.23, 1.51, -0.09, 0.02, -0.02
10.55, -0.21, 1.61, -0.10, -0.13, 0.01
10.72, -0.24, 1.70, -0.11, -0.36, 0.05
9.62, -0.28, 0.16, -0.11, -0.42, 0.08
8.88, -0.32, -0.89, -0.09, 0.09, 0.04
10.08, -0.43, 0.75, -0.08, 0.43, -0.01
10.34, -0.34, 1.13, -0.08, 0.33, -0.02
10.48, -0.30, 1.55, -0.09, 0.22, -0.02
10.43, -0.25, 1.51, -0.09, 0.10, -0.01
10.32, -0.22, 1.26, -0.10, -0.06, 0.01
10.76, -0.20, 1.81, -0.10, -0.27, 0.04
10.21, -0.32, 0.96, -0.11, -0.43, 0.07
8.86, -0.32, -0.95, -0.10, -0.18, 0.06
9.63, -0.34, -0.00, -0.08, 0.35, 0.00
10.49, -0.33, 1.39, -0.08, 0.37, -0.02
10.48, -0.24, 1.48, -0.08, 0.29, -0.02
10.30, -0.28, 1.16, -0.09, 0.14, -0.02
10.34, -0.25, 1.28, -0.09, -0.02, -0.01
10.62, -0.22, 1.71, -0.10, -0.19, 0.00
10.44, -0.24, 1.34, -0.11, -0.39, 0.04
9.17, -0.33, -0.45, -0.11, -0.33, 0.06
9.16, -0.44, -0.55, -0.09, 0.21, 0.03
10.41, -0.34, 1.23, -0.08, 0.41, -0.00
10.22, -0.36, 0.82, -0.08, 0.31, -0.01
10.34, -0.27, 1.19, -0.09, 0.16, -0.02
10.45, -0.23, 1.54, -0.09, 0.03, -0.00
10.41, -0.22, 1.42, -0.10, -0.09, 0.01
10.69, -0.23, 1.73, -0.11, -0.33, 0.03
9.74, -0.31, 0.33, -0.11, -0.41, 0.06
8.96, -0.34, -0.82, -0.09, 0.05, 0.06
9.96, -0.39, 0.53, -0.08, 0.39, 0.02
10.39, -0.35, 1.20, -0.08, 0.33, -0.01
10.50, -0.30, 1.56, -0.09, 0.23, -0.02
10.42, -0.27, 1.40, -0.09, 0.11, -0.03
10.32, -0.25, 1.20, -0.10, -0.05, -0.02
10.69, -0.21, 1.72, -0.10, -0.24, 0.01
10.29, -0.28, 1.08, -0.11, -0.41, 0.05
8.97, -0.35, -0.79, -0.10, -0.21, 0.05
9.52, -0.43, -0.10, -0.08, 0.31, 0.03
10.50, -0.31, 1.41, -0.08, 0.37, 0.01
10.33, -0.34, 1.11, -0.08, 0.31, -0.02
10.28, -0.29, 1.12, -0.09, 0.14, -0.03
10.36, -0.26, 1.35, -0.09, -0.01, -0.02
10.59, -0.22, 1.66, -0.10, -0.17, 0.01
10.52, -0.22, 1.43, -0.11, -0.37, 0.05
9.30, -0.28, -0.25, -0.11, -0.35, 0.07
9.09, -0.40, -0.64, -0.09, 0.17, 0.06
10.31, -0.39, 1.07, -0.08, 0.41, 0.01
10.23, -0.34, 0.84, -0.08, 0.31, -0.01
10.35, -0.29, 1.31, -0.09, 0.18, -0.04
10.43, -0.23, 1.54, -0.09, 0.06, -0.04
10.35, -0.22, 1.35, -0.10, -0.08, -0.02
10.70, -0.25, 1.75, -0.10, -0.30, 0.04
9.93, -0.36, 0.53, -0.11, -0.41, 0.07
8.83, -0.34, -0.96, -0.10, -0.09, 0.06
9.85, -0.33, 0.35, -0.08, 0.37, 0.02
10.42, -0.38, 1.30, -0.08, 0.34, 0.00
10.47, -0.26, 1.49, -0.08, 0.28, -0.03
10.36, -0.28, 1.35, -0.09, 0.12, -0.04
10.30, -0.24, 1.24, -0.10, -0.04, -0.03
10.64, -0.19, 1.70, -0.10, -0.22, 0.03
10.42, -0.24, 1.31, -0.11, -0.40, 0.08
9.04, -0.36, -0.63, -0.10, -0.25, 0.08
9.39, -0.46, -0.23, -0.08, 0.27, 0.03
10.45, -0.27, 1.33, -0.08, 0.38, -0.01
10.25, -0.37, 0.95, -0.08, 0.31, -0.03
10.27, -0.29, 1.10, -0.09, 0.15, -0.04
10.39, -0.26, 1.42, -0.09, 0.01, -0.03
10.44, -0.24, 1.50, -0.10, -0.11, -0.00
10.59, -0.23, 1.54, -0.11, -0.34, 0.06
9.57, -0.27, 0.06, -0.11, -0.36, 0.08
9.10, -0.34, -0.63, -0.09, 0.04, 0.05
10.12, -0.43, 0.78, -0.08, 0.38, -0.01
10.30, -0.33, 1.02, -0.08, 0.31, -0.03
10.43, -0.28, 1.40, -0.09, 0.19, -0.03
10.44, -0.23, 1.51, -0.09, 0.08, -0.03
10.36, -0.23, 1.29, -0.10, -0.06, -0.01
10.70, -0.22, 1.71, -0.10, -0.26, 0.05
10.13, -0.33, 0.88, -0.11, -0.40, 0.09
8.93, -0.35, -0.80, -0.10, -0.13, 0.07
9.73, -0.33, 0.19, -0.08, 0.32, 0.00
10.43, -0.38, 1.33, -0.08, 0.35, -0.02
10.38, -0.29, 1.25, -0.08, 0.29, -0.03
10.31, -0.29, 1.18, -0.09, 0.13, -0.02
10.32, -0.27, 1.25, -0.09, -0.03, -0.01
10.56, -0.23, 1.58, -0.10, -0.15, 0.02
10.40, -0.22, 1.25, -0.11, -0.37, 0.06
9.18, -0.36, -0.47, -0.11, -0.29, 0.07
9.32, -0.44, -0.32, -0.09, 0.21, 0.02
10.37, -0.32, 1.10, -0.08, 0.38, -0.02
10.23, -0.37, 0.85, -0.08, 0.30, -0.03
10.32, -0.27, 1.15, -0.09, 0.16, -0.02
10.43, -0.24, 1.45, -0.09, 0.03, -0.00
10.42, -0.22, 1.39, -0.10, -0.09, 0.01
10.63, -0.24, 1.58, -0.11, -0.31, 0.04
9.77, -0.28, 0.33, -0.11, -0.38, 0.07
8.97, -0.36, -0.74, -0.10, -0.02, 0.05
9.96, -0.40, 0.50, -0.08, 0.36, 0.01
10.36, -0.33, 1.23, -0.08, 0.32, -0.02
10.46, -0.30, 1.53, -0.08, 0.26, -0.02
10.38, -0.28, 1.42, -0.09, 0.10, -0.01
10.30, -0.26, 1.25, -0.10, -0.04, -0.00
10.61, -0.22, 1.66, -0.10, -0.20, 0.02
10.29, -0.31, 1.12, -0.11, -0.39, 0.05
8.96, -0.40, -0.75, -0.10, -0.19, 0.05
9.57, -0.42, 0.01, -0.08, 0.29, 0.02
10.42, -0.31, 1.30, -0.08, 0.37, -0.01
10.28, -0.33, 1.04, -0.08, 0.30, -0.02
10.29, -0.27, 1.10, -0.09, 0.14, -0.02
10.37, -0.24, 1.31, -0.09, -0.01, -0.01
10.48, -0.21, 1.48, -0.10, -0.12, 0.00
10.53, -0.23, 1.40, -0.11, -0.34, 0.04
9.43, -0.29, -0.16, -0.11, -0.33, 0.06
9.11, -0.33, -0.63, -0.09, 0.08, 0.05
10.25, -0.39, 0.99, -0.08, 0.38, 0.02
10.26, -0.32, 0.92, -0.08, 0.30, -0.00
10.45, -0.27, 1.48, -0.09, 0.20, -0.01
10.43, -0.23, 1.53, -0.09, 0.06, -0.02
10.35, -0.22, 1.32, -0.10, -0.07, -0.01
10.63, -0.21, 1.65, -0.10, -0.26, 0.03
10.00, -0.32, 0.70, -0.11, -0.38, 0.05
8.94, -0.33, -0.78, -0.10, -0.09, 0.05
9.85, -0.33, 0.36, -0.08, 0.33, 0.03
10.37, -0.38, 1.22, -0.08, 0.32, 0.01
10.42, -0.28, 1.37, -0.08, 0.27, -0.02
10.34, -0.28, 1.30, -0.09, 0.12, -0.04
10.31, -0.25, 1.24, -0.09, -0.03, -0.03
10.53, -0.23, 1.58, -0.10, -0.17, 0.00
10.41, -0.21, 1.29, -0.11, -0.36, 0.06
9.16, -0.37, -0.50, -0.10, -0.26, 0.07
9.24, -0.45, -0.40, -0.09, 0.17, 0.06
10.39, -0.28, 1.21, -0.08, 0.36, 0.01
10.24, -0.37, 0.88, -0.08, 0.30, -0.01
10.29, -0.28, 1.11, -0.09, 0.15, -0.04
10.40, -0.24, 1.39, -0.09, 0.02, -0.04
10.43, -0.22, 1.43, -0.10, -0.10, -0.01
10.60, -0.26, 1.54, -0.11, -0.31, 0.05
9.73, -0.28, 0.26, -0.11, -0.36, 0.07
9.05, -0.36, -0.70, -0.09, 0.01, 0.06
10.07, -0.38, 0.69, -0.08, 0.36, 0.01
10.31, -0.31, 1.07, -0.08, 0.30, -0.01
10.45, -0.29, 1.52, -0.08, 0.24, -0.04
10.39, -0.28, 1.46, -0.09, 0.09, -0.05
10.32, -0.27, 1.26, -0.10, -0.05, -0.02
10.57, -0.23, 1.59, -0.10, -0.20, 0.02
10.24, -0.32, 1.05, -0.11, -0.38, 0.09
8.98, -0.36, -0.79, -0.10, -0.17, 0.08
9.47, -0.45, -0.16, -0.09, 0.25, 0.04
10.41, -0.33, 1.26, -0.08, 0.34, -0.01
10.33, -0.32, 1.09, -0.08, 0.29, -0.03
10.30, -0.30, 1.12, -0.09, 0.13, -0.04
10.33, -0.27, 1.30, -0.09, -0.02, -0.02
10.47, -0.24, 1.55, -0.10, -0.13, 0.01
10.46, -0.25, 1.37, -0.11, -0.34, 0.07
9.36, -0.32, -0.21, -0.11, -0.32, 0.08
9.11, -0.34, -0.62, -0.09, 0.10, 0.04
10.28, -0.39, 1.06, -0.08, 0.37, -0.02
10.22, -0.33, 0.89, -0.08, 0.30, -0.03
10.43, -0.28, 1.41, -0.09, 0.19, -0.04
10.42, -0.23, 1.50, -0.09, 0.05, -0.02
10.37, -0.24, 1.35, -0.10, -0.08, 0.00
10.61, -0.22, 1.62, -0.10, -0.24, 0.04
9.96, -0.33, 0.64, -0.11, -0.38, 0.09
8.97, -0.35, -0.79, -0.10, -0.07, 0.06
9.89, -0.33, 0.44, -0.08, 0.34, -0.00
10.35, -0.38, 1.18, -0.08, 0.32, -0.02
10.41, -0.26, 1.41, -0.08, 0.27, -0.03
10.35, -0.27, 1.31, -0.09, 0.12, -0.02
10.30, -0.26, 1.21, -0.09, -0.03, -0.00
10.52, -0.23, 1.51, -0.10, -0.17, 0.03
10.45, -0.21, 1.34, -0.11, -0.36, 0.06
9.18, -0.37, -0.52, -0.10, -0.25, 0.06
9.27, -0.45, -0.40, -0.09, 0.19, 0.02
10.40, -0.28, 1.26, -0.08, 0.35, -0.02
10.27, -0.37, 0.93, -0.08, 0.30, -0.03
10.33, -0.29, 1.19, -0.09, 0.16, -0.03
10.39, -0.26, 1.40, -0.09, 0.01, -0.00
10.42, -0.20, 1.43, -0.10, -0.10, 0.01
10.58, -0.23, 1.54, -0.11, -0.30, 0.03
9.76, -0.26, 0.31, -0.11, -0.36, 0.06
9.04, -0.36, -0.68, -0.09, 0.01, 0.04
10.16, -0.41, 0.83, -0.08, 0.37, 0.01
10.28, -0.32, 0.97, -0.08, 0.30, -0.01
10.47, -0.29, 1.48, -0.08, 0.23, -0.01
10.42, -0.24, 1.48, -0.09, 0.08, -0.01
10.33, -0.24, 1.27, -0.10, -0.06, 0.00
10.56, -0.22, 1.53, -0.10, -0.20, 0.02
10.30, -0.32, 1.08, -0.11, -0.39, 0.05
8.96, -0.38, -0.84, -0.10, -0.18, 0.05
9.42, -0.48, -0.22, -0.09, 0.25, 0.02
10.40, -0.34, 1.28, -0.08, 0.34, 0.00
10.34, -0.30, 1.15, -0.08, 0.29, -0.02
10.29, -0.26, 1.10, -0.09, 0.15, -0.02
10.35, -0.23, 1.28, -0.09, -0.02, -0.01
10.52, -0.19, 1.53, -0.10, -0.14, 0.00
10.49, -0.20, 1.37, -0.11, -0.36, 0.04
9.30, -0.29, -0.32, -0.11, -0.33, 0.06
9.09, -0.32, -0.68, -0.09, 0.10, 0.05
10.28, -0.39, 0.98, -0.08, 0.39, 0.02
10.25, -0.34, 0.91, -0.08, 0.30, -0.00
10.44, -0.28, 1.49, -0.09, 0.20, -0.02
10.42, -0.24, 1.51, -0.09, 0.05, -0.03
10.35, -0.24, 1.34, -0.10, -0.08, -0.01
10.65, -0.22, 1.75, -0.10, -0.25, 0.02
9.97, -0.34, 0.69, -0.11, -0.40, 0.06
8.92, -0.35, -0.82, -0.10, -0.09, 0.06
9.63, -0.36, 0.07, -0.08, 0.31, 0.02
10.42, -0.38, 1.32, -0.08, 0.34, 0.01
10.41, -0.28, 1.36, -0.08, 0.28, -0.03
10.32, -0.30, 1.26, -0.09, 0.12, -0.04
10.29, -0.27, 1.25, -0.09, -0.04, -0.03
10.56, -0.22, 1.61, -0.10, -0.17, 0.00
10.35, -0.23, 1.18, -0.11, -0.39, 0.07
9.08, -0.37, -0.59, -0.10, -0.27, 0.08
9.20, -0.40, -0.49, -0.09, 0.18, 0.06
10.41, -0.27, 1.21, -0.08, 0.39, 0.00
10.25, -0.37, 0.88, -0.08, 0.30, -0.02
10.38, -0.28, 1.30, -0.09, 0.17, -0.04
10.42, -0.25, 1.47, -0.09, 0.02, -0.04
10.43, -0.24, 1.42, -0.10, -0.10, -0.01
10.67, -0.24, 1.69, -0.10, -0.28, 0.04
9.69, -0.28, 0.26, -0.11, -0.37, 0.08
9.05, -0.35, -0.64, -0.10, 0.00, 0.06
10.02, -0.39, 0.65, -0.08, 0.37, 0.00
10.34, -0.35, 1.17, -0.08, 0.31, -0.02
10.45, -0.31, 1.56, -0.08, 0.24, -0.04
10.39, -0.27, 1.44, -0.09, 0.10, -0.04
10.32, -0.25, 1.23, -0.10, -0.05, -0.01
10.58, -0.21, 1.59, -0.10, -0.20, 0.03
10.28, -0.28, 1.07, -0.11, -0.38, 0.09
9.05, -0.35, -0.74, -0.10, -0.19, 0.08
9.43, -0.49, -0.22, -0.09, 0.23, 0.04
10.44, -0.30, 1.28, -0.08, 0.35, -0.02
10.30, -0.35, 1.06, -0.08, 0.29, -0.03
10.30, -0.28, 1.13, -0.09, 0.15, -0.04
10.38, -0.27, 1.36, -0.09, -0.01, -0.02
10.49, -0.23, 1.52, -0.10, -0.13, 0.01
10.65, -0.26, 1.64, -0.11, -0.31, 0.06
9.48, -0.28, -0.06, -0.11, -0.34, 0.08
9.11, -0.33, -0.61, -0.09, 0.07, 0.04
10.19, -0.43, 0.87, -0.08, 0.38, -0.01
10.26, -0.32, 0.96, -0.08, 0.30, -0.03
10.44, -0.30, 1.48, -0.09, 0.21, -0.04
10.42, -0.24, 1.51, -0.09, 0.07, -0.01
10.35, -0.24, 1.30, -0.10, -0.07, 0.01
10.65, -0.22, 1.68, -0.10, -0.23, 0.04
10.07, -0.31, 0.80, -0.11, -0.39, 0.08
8.95, -0.34, -0.81, -0.10, -0.12, 0.06
9.56, -0.42, -0.06, -0.08, 0.29, 0.01
10.43, -0.37, 1.29, -0.08, 0.34, -0.02
10.38, -0.28, 1.25, -0.08, 0.29, -0.03
10.27, -0.27, 1.08, -0.09, 0.14, -0.03
10.30, -0.24, 1.24, -0.10, -0.03, -0.00
10.52, -0.22, 1.58, -0.10, -0.15, 0.01
10.44, -0.21, 1.33, -0.11, -0.36, 0.05
9.24, -0.31, -0.38, -0.11, -0.29, 0.06
9.16, -0.34, -0.55, -0.09, 0.14, 0.03
10.36, -0.33, 1.17, -0.08, 0.38, -0.01
10.21, -0.36, 0.88, -0.08, 0.30, -0.02
10.38, -0.27, 1.38, -0.09, 0.18, -0.02
10.43, -0.24, 1.51, -0.09, 0.04, 0.00
10.39, -0.23, 1.41, -0.10, -0.09, 0.01
10.66, -0.22, 1.69, -0.10, -0.26, 0.04
9.84, -0.33, 0.44, -0.11, -0.38, 0.06
8.95, -0.36, -0.77, -0.10, -0.05, 0.05
9.77, -0.32, 0.24, -0.08, 0.32, 0.00
10.39, -0.38, 1.22, -0.08, 0.32, -0.01
10.46, -0.28, 1.44, -0.08, 0.26, -0.02
10.39, -0.28, 1.33, -0.09, 0.11, -0.02
10.31, -0.25, 1.23, -0.09, -0.04, -0.01
10.58, -0.22, 1.63, -0.10, -0.18, 0.00
10.34, -0.23, 1.18, -0.11, -0.38, 0.05
9.08, -0.37, -0.64, -0.10, -0.24, 0.06
9.28, -0.44, -0.40, -0.09, 0.20, 0.03
10.41, -0.24, 1.25, -0.08, 0.37, 0.01
10.25, -0.35, 0.94, -0.08, 0.30, -0.01
10.35, -0.26, 1.22, -0.09, 0.16, -0.01
10.40, -0.24, 1.42, -0.09, 0.01, -0.02
10.43, -0.21, 1.47, -0.10, -0.11, 0.00
10.66, -0.23, 1.67, -0.10, -0.28, 0.03
9.66, -0.27, 0.21, -0.11, -0.36, 0.06
9.07, -0.35, -0.65, -0.09, 0.02, 0.06
9.92, -0.34, 0.47, -0.08, 0.35, 0.02
10.33, -0.32, 1.08, -0.08, 0.30, -0.00
10.49, -0.30, 1.53, -0.08, 0.23, -0.03
10.43, -0.27, 1.48, -0.09, 0.09, -0.04
10.33, -0.24, 1.26, -0.10, -0.06, -0.03
10.61, -0.20, 1.59, -0.10, -0.21, 0.00
10.23, -0.31, 1.00, -0.11, -0.39, 0.07
8.92, -0.36, -0.84, -0.10, -0.18, 0.07
9.44, -0.47, -0.17, -0.09, 0.25, 0.04
10.42, -0.32, 1.30, -0.08, 0.35, 0.01
10.30, -0.32, 1.11, -0.08, 0.29, -0.02
10.27, -0.28, 1.12, -0.09, 0.15, -0.03
10.36, -0.28, 1.32, -0.09, -0.01, -0.03
10.48, -0.22, 1.53, -0.10, -0.13, 0.00
10.59, -0.26, 1.52, -0.11, -0.32, 0.05
9.34, -0.30, -0.18, -0.11, -0.34, 0.08
9.11, -0.32, -0.62, -0.09, 0.09, 0.06
10.20, -0.40, 0.92, -0.08, 0.38, 0.00
10.24, -0.32, 0.94, -0.08, 0.30, -0.02
10.45, -0.29, 1.51, -0.09, 0.21, -0.04
10.43, -0.23, 1.52, -0.09, 0.06, -0.04
10.35, -0.22, 1.33, -0.10, -0.07, -0.02
10.63, -0.20, 1.67, -0.10, -0.23, 0.03
10.06, -0.36, 0.76, -0.11, -0.39, 0.09
8.89, -0.37, -0.86, -0.10, -0.11, 0.07
9.59, -0.41, 0.04, -0.08, 0.29, 0.02
10.39, -0.39, 1.28, -0.08, 0.33, -0.01
10.38, -0.30, 1.30, -0.08, 0.28, -0.03
10.26, -0.31, 1.12, -0.09, 0.14, -0.04
10.30, -0.26, 1.23, -0.10, -0.03, -0.02
10.52, -0.23, 1.56, -0.10, -0.15, 0.02
10.40, -0.20, 1.27, -0.11, -0.36, 0.07
9.18, -0.32, -0.46, -0.11, -0.29, 0.08
9.20, -0.31, -0.54, -0.09, 0.14, 0.04
10.36, -0.31, 1.09, -0.08, 0.38, -0.02
10.24, -0.37, 0.87, -0.08, 0.30, -0.03
10.39, -0.28, 1.40, -0.09, 0.18, -0.04
10.42, -0.23, 1.48, -0.09, 0.04, -0.02
10.40, -0.23, 1.39, -0.10, -0.09, 0.00
10.68, -0.21, 1.69, -0.10, -0.26, 0.05
9.84, -0.30, 0.44, -0.11, -0.38, 0.08
8.98, -0.33, -0.73, -0.10, -0.04, 0.05
54.24, 4.37, -22.66, 3.89, 0.00, -2.18
10.44, -0.29, 1.28, -0.08, 0.36, -0.00
10.37, -0.27, 1.23, -0.08, 0.28, -0.03
10.26, -0.29, 1.08, -0.09, 0.14, -0.04
10.37, -0.25, 1.32, -0.09, -0.00, -0.03
10.52, -0.22, 1.54, -0.10, -0.15, 0.02
10.56, -0.23, 1.49, -0.11, -0.34, 0.06
9.47, -0.27, -0.04, -0.11, -0.34, 0.08
9.18, -0.34, -0.53, -0.09, 0.13, 0.03
10.13, -0.43, 0.75, -0.08, 0.37, -0.00
10.23, -0.36, 0.83, -0.08, 0.29, -0.03
10.41, -0.29, 1.41, -0.09, 0.19, -0.04
10.42, -0.24, 1.47, -0.09, 0.07, -0.03
10.38, -0.24, 1.36, -0.10, -0.08, 0.01
10.68, -0.23, 1.71, -0.10, -0.26, 0.05
10.14, -0.34, 0.85, -0.11, -0.39, 0.09
8.96, -0.35, -0.78, -0.10, -0.06, 0.05
9.72, -0.33, 0.17, -0.08, 0.31, 0.00
10.44, -0.38, 1.33, -0.08, 0.35, -0.02
10.43, -0.27, 1.40, -0.08, 0.27, -0.03
10.31, -0.30, 1.17, -0.09, 0.13, -0.02
10.34, -0.25, 1.30, -0.09, -0.02, -0.01
10.57, -0.21, 1.63, -0.10, -0.17, 0.02
10.43, -0.24, 1.32, -0.11, -0.37, 0.06
9.24, -0.34, -0.38, -0.11, -0.31, 0.07
9.27, -0.44, -0.41, -0.09, 0.18, 0.02
10.29, -0.35, 0.98, -0.08, 0.38, -0.02
10.25, -0.37, 0.90, -0.08, 0.30, -0.02
10.38, -0.28, 1.27, -0.09, 0.17, -0.02
10.44, -0.25, 1.52, -0.09, 0.05, -0.01
10.42, -0.23, 1.44, -0.10, -0.10, 0.01
10.67, -0.24, 1.68, -0.10, -0.29, 0.04
9.91, -0.34, 0.54, -0.11, -0.39, 0.07
9.04, -0.38, -0.66, -0.09, 0.01, 0.05
