aX,aY,aZ,gX,gY,gZ
10.01, -0.32, 0.63, -0.10, 0.03, 0.01
10.19, -0.33, 0.94, -0.09, 0.05, -0.00
10.19, -0.30, 0.89, -0.10, 0.00, 0.00
10.01, -0.32, 0.64, -0.09, 0.03, 0.01
10.13, -0.33, 0.87, -0.09, 0.06, -0.01
10.16, -0.29, 0.89, -0.10, 0.00, 0.02
10.00, -0.31, 0.64, -0.09, 0.03, 0.03
10.22, -0.28, 1.00, -0.09, 0.05, 0.00
10.17, -0.26, 0.87, -0.10, 0.00, 0.00
9.99, -0.29, 0.61, -0.09, 0.03, 0.00
10.22, -0.30, 1.01, -0.09, 0.05, 0.01
10.14, -0.28, 0.88, -0.10, 0.00, 0.02
108.48, 8.73, -44.10, 0.55, 0.00, -8.69
108.48, 8.73, -46.55, 10.90, 0.00, -8.69
108.48, 8.73, -47.77, 27.52, 0.00, -8.69
108.48, 8.73, -47.77, -25.61, 0.00, -8.69
54.24, 4.37, -24.50, -2.25, 0.00, -2.18
10.00, -0.32, 0.59, -0.10, 0.03, 0.03
10.17, -0.33, 0.91, -0.10, 0.06, 0.01
10.19, -0.28, 0.91, -0.10, 0.00, -0.01
10.01, -0.29, 0.59, -0.09, 0.03, -0.00
10.18, -0.32, 0.93, -0.09, 0.05, -0.00
10.17, -0.29, 0.91, -0.10, 0.00, 0.02
10.00, -0.32, 0.62, -0.09, 0.03, 0.04
10.23, -0.32, 0.99, -0.09, 0.05, 0.02
10.16, -0.30, 0.87, -0.10, 0.00, 0.01
10.02, -0.32, 0.62, -0.09, 0.03, 0.01
10.23, -0.32, 1.01, -0.09, 0.05, 0.00
10.16, -0.30, 0.91, -0.10, 0.00, 0.00
10.01, -0.33, 0.62, -0.09, 0.03, 0.01
10.22, -0.32, 1.00, -0.09, 0.05, 0.02
10.15, -0.27, 0.84, -0.10, 0.00, 0.02
10.01, -0.29, 0.60, -0.09, 0.04, 0.02
10.22, -0.32, 0.99, -0.09, 0.04, 0.01
10.14, -0.29, 0.86, -0.10, -0.00, 0.00
10.01, -0.31, 0.62, -0.09, 0.04, 0.01
10.22, -0.33, 0.99, -0.10, 0.04, 0.01
10.15, -0.31, 0.88, -0.10, 0.00, 0.02
9.99, -0.31, 0.66, -0.09, 0.04, 0.02
10.20, -0.31, 1.01, -0.10, 0.04, 0.00
10.13, -0.29, 0.84, -0.10, 0.00, 0.01
10.05, -0.33, 0.73, -0.09, 0.05, 0.02
10.22, -0.30, 1.02, -0.09, 0.04, 0.01
10.11, -0.29, 0.82, -0.10, 0.00, 0.01
10.04, -0.32, 0.76, -0.09, 0.05, 0.01
10.21, -0.30, 1.07, -0.09, 0.03, 0.00
10.05, -0.27, 0.82, -0.10, -0.00, 0.01
9.95, -0.31, 0.76, -0.09, 0.06, 0.01
10.48, -0.34, 1.08, -0.10, 0.03, 0.02
10.01, -0.28, 0.77, -0.10, -0.01, 0.02
10.06, -0.32, 0.73, -0.09, 0.06, 0.02
10.20, -0.29, 1.03, -0.00, -0.00, -0.00
10.00, -0.27, 0.74, -0.10, -0.00, 0.01
10.22, -0.35, 0.74, -0.09, 0.06, -0.01
10.20, -0.32, 0.94, -0.10, 0.03, 0.00
10.10, -0.31, 0.65, -0.10, 0.00, 0.03
10.01, -0.34, 0.80, -0.09, 0.06, 0.04
10.27, -0.32, 1.02, -0.10, 0.03, 0.03
10.02, -0.32, 0.62, -0.10, 0.01, 0.01
10.00, -0.33, 0.80, -0.09, 0.06, -0.00
10.19, -0.32, 1.02, -0.10, 0.03, -0.01
10.07, -0.32, 0.64, -0.10, 0.01, 0.01
10.11, -0.31, 0.86, -0.09, 0.06, 0.02
10.24, -0.30, 0.99, -0.10, 0.02, 0.03
9.96, -0.27, 0.58, -0.10, 0.01, 0.04
10.13, -0.28, 0.88, -0.09, 0.06, 0.03
10.21, -0.26, 0.98, -0.10, 0.02, 0.01
10.00, -0.28, 0.59, -0.09, 0.02, -0.01
10.22, -0.30, 0.94, -0.09, 0.06, -0.02
10.18, -0.28, 0.96, -0.10, 0.01, 0.02
9.95, -0.31, 0.56, -0.10, 0.02, 0.04
10.17, -0.35, 0.91, -0.09, 0.06, 0.04
10.16, -0.31, 0.95, -0.10, 0.01, 0.02
10.01, -0.34, 0.60, -0.09, 0.03, 0.01
10.20, -0.36, 0.96, -0.09, 0.06, -0.01
10.21, -0.32, 0.91, -0.10, 0.00, -0.00
9.98, -0.33, 0.56, -0.09, 0.03, 0.01
10.17, -0.34, 0.96, -0.09, 0.05, 0.01
10.20, -0.31, 0.98, -0.10, 0.02, -0.00
9.98, -0.31, 0.56, -0.09, 0.03, 0.03
10.21, -0.31, 0.96, -0.09, 0.05, 0.02
10.18, -0.27, 0.84, -0.10, -0.00, 0.01
10.02, -0.30, 0.57, -0.09, 0.04, -0.00
10.23, -0.32, 0.96, -0.09, 0.05, -0.01
10.13, -0.28, 0.85, -0.10, -0.00, 0.01
10.00, -0.30, 0.62, -0.09, 0.04, 0.02
10.22, -0.31, 1.03, -0.10, 0.04, 0.00
10.14, -0.31, 0.83, -0.10, -0.00, 0.01
10.05, -0.33, 0.68, -0.09, 0.05, 0.01
10.24, -0.30, 1.02, -0.09, 0.03, 0.02
10.11, -0.28, 0.78, -0.10, -0.00, 0.02
10.04, -0.30, 0.66, -0.09, 0.05, 0.02
10.23, -0.30, 1.00, -0.09, 0.03, 0.01
10.06, -0.30, 0.68, -0.10, -0.00, 0.01
10.05, -0.34, 0.69, -0.09, 0.06, 0.00
10.24, -0.32, 0.98, -0.10, 0.03, -0.00
10.06, -0.30, 0.67, -0.10, 0.00, 0.01
10.08, -0.33, 0.75, -0.09, 0.06, 0.02
10.23, -0.30, 1.03, -0.10, 0.02, 0.03
10.02, -0.31, 0.69, -0.10, 0.00, 0.02
10.14, -0.35, 0.90, -0.09, 0.06, -0.01
10.21, -0.33, 1.01, -0.10, 0.02, -0.02
10.02, -0.34, 0.65, -0.10, 0.01, -0.01
10.18, -0.34, 0.94, -0.09, 0.06, 0.01
10.22, -0.30, 0.99, -0.10, 0.01, 0.03
9.98, -0.27, 0.59, -0.10, 0.01, 0.04
10.18, -0.28, 0.97, -0.09, 0.06, 0.03
10.19, -0.25, 0.99, -0.10, 0.01, 0.02
9.97, -0.28, 0.56, -0.10, 0.02, 0.00
10.19, -0.29, 0.93, -0.09, 0.05, -0.01
10.20, -0.27, 0.92, -0.10, 0.00, -0.01
9.96, -0.29, 0.54, -0.09, 0.03, 0.01
10.22, -0.31, 1.02, -0.09, 0.05, 0.02
10.18, -0.31, 0.95, -0.10, 0.00, 0.03
10.00, -0.32, 0.57, -0.09, 0.03, 0.03
10.21, -0.32, 0.98, -0.09, 0.05, 0.01
10.17, -0.29, 0.88, -0.10, -0.00, 0.00
10.02, -0.34, 0.62, -0.09, 0.05, 0.01
10.23, -0.33, 1.01, -0.09, 0.04, 0.01
10.15, -0.30, 0.83, -0.10, -0.00, 0.01
10.04, -0.33, 0.69, -0.09, 0.05, 0.00
10.23, -0.30, 1.01, -0.10, 0.03, 0.00
10.11, -0.26, 0.82, -0.10, -0.00, 0.01
10.08, -0.29, 0.76, -0.09, 0.06, 0.02
10.24, -0.30, 1.03, -0.10, 0.03, 0.02
10.07, -0.28, 0.77, -0.10, -0.00, 0.03
10.12, -0.32, 0.83, -0.09, 0.06, 0.02
10.24, -0.30, 1.03, -0.10, 0.03, 0.01
10.05, -0.29, 0.73, -0.10, 0.00, 0.00
10.15, -0.31, 0.88, -0.09, 0.06, -0.01
10.21, -0.32, 1.02, -0.10, 0.02, -0.01
9.97, -0.34, 0.61, -0.10, 0.02, 0.03
10.16, -0.35, 0.92, -0.09, 0.06, 0.04
10.24, -0.32, 1.02, -0.10, 0.02, 0.03
9.97, -0.31, 0.58, -0.10, 0.02, 0.02
10.18, -0.33, 0.95, -0.09, 0.06, 0.00
10.20, -0.29, 0.96, -0.10, 0.01, -0.01
9.96, -0.30, 0.55, -0.09, 0.03, -0.00
10.18, -0.32, 0.96, -0.09, 0.05, -0.00
10.18, -0.28, 0.95, -0.10, 0.00, 0.02
9.97, -0.30, 0.54, -0.09, 0.04, 0.03
10.19, -0.31, 0.97, -0.09, 0.05, 0.02
10.19, -0.28, 0.92, -0.10, 0.00, 0.03
10.02, -0.32, 0.62, -0.09, 0.05, 0.01
10.22, -0.31, 1.03, -0.09, 0.04, 0.00
10.15, -0.29, 0.91, -0.10, -0.00, 0.00
10.03, -0.31, 0.73, -0.09, 0.05, 0.02
10.23, -0.29, 1.05, -0.10, 0.04, 0.01
10.07, -0.29, 0.72, -0.10, -0.00, 0.00
10.06, -0.33, 0.72, -0.09, 0.06, -0.00
10.25, -0.31, 1.04, -0.09, 0.03, -0.00
10.03, -0.30, 0.67, -0.10, -0.00, 0.02
10.08, -0.33, 0.81, -0.09, 0.06, 0.03
10.22, -0.32, 1.02, -0.10, 0.02, 0.03
9.99, -0.32, 0.59, -0.10, 0.01, 0.03
10.14, -0.33, 0.82, -0.09, 0.06, 0.01
10.24, -0.31, 1.01, -0.10, 0.02, -0.01
9.96, -0.32, 0.57, -0.10, 0.01, -0.01
10.16, -0.34, 0.92, -0.09, 0.06, -0.00
10.19, -0.29, 0.99, -0.10, 0.01, 0.01
9.96, -0.31, 0.56, -0.09, 0.03, 0.04
10.19, -0.31, 0.97, -0.09, 0.06, 0.04
10.17, -0.26, 0.92, -0.10, -0.00, 0.02
9.97, -0.28, 0.56, -0.09, 0.03, 0.01
10.15, -0.29, 1.00, -0.09, 0.06, -0.01
10.10, -0.27, 0.87, -0.10, 0.00, 0.01
10.20, -0.34, 0.65, -0.09, 0.04, 0.01
10.14, -0.31, 1.04, -0.09, 0.04, 0.01
10.12, -0.29, 0.82, -0.10, -0.00, 0.01
10.03, -0.34, 0.69, -0.09, 0.05, 0.01
10.17, -0.32, 1.08, -0.10, 0.04, 0.01
10.11, -0.29, 0.75, -0.10, -0.00, 0.02
10.04, -0.34, 0.70, -0.09, 0.06, 0.03
10.27, -0.29, 1.01, -0.10, 0.03, 0.02
9.99, -0.27, 0.59, -0.10, -0.00, 0.03
10.03, -0.33, 0.71, -0.09, 0.06, 0.01
10.25, -0.32, 0.98, -0.10, 0.02, 0.00
9.95, -0.30, 0.59, -0.10, 0.01, -0.01
10.16, -0.34, 0.90, -0.09, 0.07, -0.02
10.23, -0.29, 0.99, -0.10, 0.01, 0.01
9.95, -0.30, 0.56, -0.10, 0.02, 0.03
10.10, -0.33, 0.78, -0.09, 0.06, 0.01
10.18, -0.29, 0.93, -0.10, 0.00, 0.03
9.99, -0.31, 0.53, -0.09, 0.03, 0.02
10.24, -0.33, 1.02, -0.09, 0.06, 0.01
10.17, -0.27, 0.90, -0.10, -0.00, 0.00
10.01, -0.30, 0.62, -0.09, 0.04, 0.00
10.24, -0.30, 1.04, -0.09, 0.05, 0.00
10.12, -0.28, 0.84, -0.10, -0.00, 0.01
10.02, -0.31, 0.66, -0.09, 0.05, 0.01
10.24, -0.30, 1.07, -0.09, 0.04, 0.01
10.05, -0.29, 0.71, -0.10, -0.00, 0.01
10.02, -0.33, 0.69, -0.09, 0.06, 0.01
10.23, -0.31, 1.01, -0.10, 0.02, 0.03
10.02, -0.30, 0.64, -0.10, 0.00, 0.04
10.10, -0.34, 0.79, -0.09, 0.06, 0.03
10.24, -0.29, 1.02, -0.10, 0.01, -0.00
9.98, -0.30, 0.60, -0.10, 0.01, -0.01
10.13, -0.33, 0.88, -0.09, 0.07, -0.02
10.21, -0.30, 0.98, -0.10, 0.01, -0.01
9.97, -0.29, 0.55, -0.10, 0.02, 0.01
10.20, -0.31, 0.95, -0.09, 0.06, 0.02
10.20, -0.28, 0.94, -0.10, 0.00, 0.03
9.98, -0.30, 0.56, -0.09, 0.03, 0.03
10.22, -0.30, 1.01, -0.09, 0.06, 0.02
10.13, -0.27, 0.88, -0.10, -0.00, 0.00
9.97, -0.30, 0.63, -0.09, 0.05, 0.00
10.22, -0.32, 1.05, -0.10, 0.04, 0.01
10.08, -0.29, 0.80, -0.10, -0.00, 0.01
10.01, -0.33, 0.67, -0.09, 0.05, 0.01
10.22, -0.30, 1.04, -0.10, 0.03, -0.01
10.03, -0.30, 0.68, -0.10, -0.00, -0.01
10.09, -0.33, 0.74, -0.09, 0.06, -0.00
10.23, -0.31, 1.01, -0.10, 0.02, 0.02
9.99, -0.33, 0.61, -0.10, 0.01, 0.03
10.12, -0.35, 0.87, -0.09, 0.06, 0.04
10.23, -0.30, 1.00, -0.10, 0.01, 0.03
9.95, -0.32, 0.55, -0.09, 0.01, 0.02
10.16, -0.32, 0.93, -0.37, 0.24, -0.00
10.20, -0.30, 1.01, -0.10, 0.01, -0.01
